Month,PrimarySalesNumber,PrimarySalesConsideration,SecondarySalesNumber,SecondarySalesConsideration,TotalSalesNumber,TotalSalesConsideration,Movement
2018-04,2122,26644,4524,35180,6646,61824,Up
2018-05,756,13200,4766,38984,5522,52184,Down
2018-06,2070,29636,4643,38387,6713,68023,Up
2018-07,1753,28775,4338,36462,6091,65237,Down
2018-08,1490,18236,3332,28529,4822,46765,Down
2018-09,1252,17926,2248,19157,3500,37083,Down
2018-10,2337,21382,1906,17189,4243,38571,Up
2018-11,720,9776,1915,16244,2635,26020,Down
2018-12,399,11542,1661,12534,2060,24076,Down
2019-01,2191,28401,2352,16523,4543,44924,Up
2019-02,1654,17551,2435,18529,4089,36080,Down
2019-03,1468,15211,3763,30659,5231,45870,Up
2019-04,2789,27707,5033,42394,7822,70101,Up
2019-05,3246,32682,4962,45764,8208,78446,Up
2019-06,1191,15405,3436,29925,4627,45330,Down
2019-07,1810,17937,2995,26132,4805,44069,Down
2019-08,1252,12894,2832,23689,4084,36583,Down
2019-09,1338,11873,2109,15788,3447,27661,Down
2019-10,1387,16951,2614,23737,4001,40688,Up
2019-11,2112,19775,3644,28004,5756,47779,Up
2019-12,670,11216,2514,20046,3184,31262,Down
2020-01,626,7468,2136,17310,2762,24778,Down
2020-02,1016,9868,2556,20539,3572,30407,Up
2020-03,619,7555,3251,24204,3870,31759,Up
2020-04,775,8161,3327,25572,4102,33733,Up
2020-05,1179,15015,4805,37730,5984,52745,Up
2020-06,2195,21462,4792,43333,6987,64795,Up
2020-07,1673,22184,4460,37310,6133,59494,Down
2020-08,1068,11955,3290,28252,4358,40207,Down
2020-09,808,9601,4216,33805,5024,43406,Up
2020-10,1046,9961,3905,40092,4951,50053,Up
2020-11,2201,23413,3869,34697,6070,58110,Up
2020-12,2111,23131,3956,35615,6067,58746,Up
2021-01,586,7269,3976,32474,4562,39743,Down
2021-02,1553,17229,4572,39705,6125,56934,Up
2021-03,1553,20210,5891,49138,7444,69348,Up
2021-04,1067,16275,6258,55275,7325,71550,Up
2021-05,1572,24951,5512,51879,7084,76830,Up
2021-06,1954,28170,5637,52703,7591,80873,Up
2021-07,2052,28567,5527,50037,7579,78604,Down
2021-08,708,11305,4838,43192,5546,54497,Down
2021-09,1926,21261,3918,34794,5844,56055,Up
2021-10,1297,19479,3346,30201,4643,49680,Down
2021-11,1868,19014,3541,32269,5409,51283,Up
2021-12,1514,17158,3631,31350,5145,48508,Down
2022-01,1081,13699,3194,29722,4275,43421,Down
2022-02,481,6872,2431,22601,2912,29473,Down
2022-03,161,2533,2708,24393,2869,26926,Down
2022-04,258,3417,3639,31741,3897,35158,Up
2022-05,1492,18262,4710,39767,6202,58029,Up
2022-06,1382,16270,3444,28888,4826,45158,Down
2022-07,1177,13451,2494,20438,3671,33889,Down
2022-08,1564,12019,2573,20473,4137,32492,Down
2022-09,1435,10466,2440,18629,3875,29095,Down
2022-10,672,5230,2476,21949,3148,27179,Down
2022-11,365,4763,2366,21098,2731,25861,Down
2022-12,247,2740,2260,18300,2507,21040,Down
2023-01,363,5072,2688,20359,3051,25431,Up
2023-02,655,9053,3627,27602,4282,36655,Up
2023-03,1787,18872,4903,39021,6690,57893,Up
2023-04,1550,25758,3033,26610,4583,52368,Down
2023-05,1000,11807,3003,24961,4003,36768,Down
2023-06,1019,12718,2594,20903,3613,33621,Down
